n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.07005521905994631
100,64,8,0.005,0.06874332717742439
100,128,8,0.005,0.06789325238962932
100,256,8,0.005,0.06757052031130188
500,32,8,0.005,0.017712242167709526
500,64,8,0.005,0.015336306774880341
500,128,8,0.005,0.013585781535737166
500,256,8,0.005,0.012988215547253776
1000,32,8,0.005,0.006877120725850628
1000,64,8,0.005,0.005469653407415064
1000,128,8,0.005,0.00432758401016863
1000,256,8,0.005,0.0038550136151562038
2500,32,8,0.005,0.0032945421025631083
2500,64,8,0.005,0.002742262463557473
2500,128,8,0.005,0.0024917925342555266
2500,256,8,0.005,0.002427818316527418
5000,32,8,0.005,0.0028266155767696683
5000,64,8,0.005,0.002410475900739835
5000,128,8,0.005,0.0022805830224472213
5000,256,8,0.005,0.0022273983469535564
100,32,16,0.005,0.07005521905994631
100,64,16,0.005,0.06874187265809154
100,128,16,0.005,0.06799395907206628
100,256,16,0.005,0.06745635742553857
500,32,16,0.005,0.01775218755230584
500,64,16,0.005,0.015427153679932417
500,128,16,0.005,0.01385974990064763
500,256,16,0.005,0.012930268561443813
1000,32,16,0.005,0.006860318460149685
1000,64,16,0.005,0.005323303392018599
1000,128,16,0.005,0.004409761120928247
1000,256,16,0.005,0.003826111045565797
2500,32,16,0.005,0.003463323493824803
2500,64,16,0.005,0.002671299055941645
2500,128,16,0.005,0.0024077174298401593
2500,256,16,0.005,0.002276934135663955
5000,32,16,0.005,0.0027408860954498218
5000,64,16,0.005,0.002318307820633655
5000,128,16,0.005,0.0021616248827989286
5000,256,16,0.005,0.0021089561146533926
100,32,32,0.005,0.07005521905994631
100,64,32,0.005,0.06874187265809154
100,128,32,0.005,0.06799395907206628
100,256,32,0.005,0.06745635742553857
500,32,32,0.005,0.01775218755230584
500,64,32,0.005,0.015427153679932417
500,128,32,0.005,0.01385974990064763
500,256,32,0.005,0.012963071023925764
1000,32,32,0.005,0.006860318460149685
1000,64,32,0.005,0.0053402347098615065
1000,128,32,0.005,0.004427711239860782
1000,256,32,0.005,0.0038566684805364515
2500,32,32,0.005,0.003437014670855759
2500,64,32,0.005,0.002676346215789204
2500,128,32,0.005,0.00240926644241763
2500,256,32,0.005,0.0022736710120855185
5000,32,32,0.005,0.002777166594337113
5000,64,32,0.005,0.002333615470596225
5000,128,32,0.005,0.0021698675093682522
5000,256,32,0.005,0.002117437323804699
100,32,64,0.005,0.07005521905994631
100,64,64,0.005,0.06874187265809154
100,128,64,0.005,0.06799395907206628
100,256,64,0.005,0.06745635742553857
500,32,64,0.005,0.01775218755230584
500,64,64,0.005,0.015427153679932417
500,128,64,0.005,0.01385974990064763
500,256,64,0.005,0.012963071023925764
1000,32,64,0.005,0.006860318460149685
1000,64,64,0.005,0.0053402347098615065
1000,128,64,0.005,0.004427711239860782
1000,256,64,0.005,0.0038566684805364515
2500,32,64,0.005,0.003437014670855759
2500,64,64,0.005,0.002676346215789204
2500,128,64,0.005,0.00240926644241763
2500,256,64,0.005,0.002277187843610585
5000,32,64,0.005,0.002777166594337113
5000,64,64,0.005,0.002333615470596225
5000,128,64,0.005,0.002172713687193599
5000,256,64,0.005,0.0021307315896150047
100,32,8,0.01,0.04688771224443262
100,64,8,0.01,0.044934680249006216
100,128,8,0.01,0.0434659298931312
100,256,8,0.01,0.04295635311989832
500,32,8,0.01,0.006980689537650068
500,64,8,0.01,0.005282152999391188
500,128,8,0.01,0.004310134076094876
500,256,8,0.01,0.0038591421457397344
1000,32,8,0.01,0.003802774672415677
1000,64,8,0.01,0.0029668691641690165
1000,128,8,0.01,0.002615817198308519
1000,256,8,0.01,0.0025206662225787193
2500,32,8,0.01,0.0028122169476609803
2500,64,8,0.01,0.002463449125637446
2500,128,8,0.01,0.0022862613096526333
2500,256,8,0.01,0.002251094259902969
5000,32,8,0.01,0.0024763780336482704
5000,64,8,0.01,0.002250591600409223
5000,128,8,0.01,0.0021573698498176604
5000,256,8,0.01,0.002144123171683215
100,32,16,0.01,0.04688771224443262
100,64,16,0.01,0.044938899962548566
100,128,16,0.01,0.043720606432954966
100,256,16,0.01,0.04283026163506713
500,32,16,0.01,0.006962616775408651
500,64,16,0.01,0.00537646647075548
500,128,16,0.01,0.004391495676991532
500,256,16,0.01,0.003877425217302246
1000,32,16,0.01,0.003855862687408249
1000,64,16,0.01,0.002979915363213627
1000,128,16,0.01,0.002558911210977211
1000,256,16,0.01,0.0024169743181415553
2500,32,16,0.01,0.0027199801177283326
2500,64,16,0.01,0.0023855830160585513
2500,128,16,0.01,0.0021894850944617593
2500,256,16,0.01,0.002143417229956519
5000,32,16,0.01,0.002386403025719218
5000,64,16,0.01,0.0021699993823348805
