n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.07009537540360226
100,64,8,0.005,0.06869335186029382
100,128,8,0.005,0.06780163642579584
100,256,8,0.005,0.06728226011377117
500,32,8,0.005,0.017435347392658618
500,64,8,0.005,0.01506476747494151
500,128,8,0.005,0.013393264212458731
500,256,8,0.005,0.012509301226485362
1000,32,8,0.005,0.00666717229499502
1000,64,8,0.005,0.005156586412708823
1000,128,8,0.005,0.00401328374820418
1000,256,8,0.005,0.003229143747443793
2500,32,8,0.005,0.003052660934518239
2500,64,8,0.005,0.0022969051393955504
2500,128,8,0.005,0.0018646428868770034
2500,256,8,0.005,0.0017144735098366577
5000,32,8,0.005,0.0022607798679112677
5000,64,8,0.005,0.0019488828068779738
5000,128,8,0.005,0.0016084683110697228
5000,256,8,0.005,0.001539632993889136
100,32,16,0.005,0.07009537540360226
100,64,16,0.005,0.06868084184292703
100,128,16,0.005,0.06792748520025711
100,256,16,0.005,0.06739388250049662
500,32,16,0.005,0.017466035439782136
500,64,16,0.005,0.015106585992319952
500,128,16,0.005,0.013597758640964732
500,256,16,0.005,0.012672124342282546
1000,32,16,0.005,0.0066840706051742305
1000,64,16,0.005,0.00514239295101751
1000,128,16,0.005,0.004100896225717075
1000,256,16,0.005,0.0034611163505170483
2500,32,16,0.005,0.003024221883976446
2500,64,16,0.005,0.002242538383221196
2500,128,16,0.005,0.0018593146386903367
2500,256,16,0.005,0.0015975302081386372
5000,32,16,0.005,0.002226935219778056
5000,64,16,0.005,0.0017960688030605478
5000,128,16,0.005,0.0015580328822757989
5000,256,16,0.005,0.0013939088914227203
100,32,32,0.005,0.07009537540360226
100,64,32,0.005,0.06868084184292703
100,128,32,0.005,0.06792748520025711
100,256,32,0.005,0.06739388250049662
500,32,32,0.005,0.017466035439782136
500,64,32,0.005,0.015106585992319952
500,128,32,0.005,0.013597758640964732
500,256,32,0.005,0.012662554612028106
1000,32,32,0.005,0.0066840706051742305
1000,64,32,0.005,0.005174140717914437
1000,128,32,0.005,0.00409605428568578
1000,256,32,0.005,0.0034536340138986133
2500,32,32,0.005,0.003024221883976446
2500,64,32,0.005,0.0022643699589409054
2500,128,32,0.005,0.0018397914054989221
2500,256,32,0.005,0.0015739915286113416
5000,32,32,0.005,0.002226935219778056
5000,64,32,0.005,0.0018208481486346063
5000,128,32,0.005,0.001566904039002143
5000,256,32,0.005,0.001382026887401236
100,32,64,0.005,0.07009537540360226
100,64,64,0.005,0.06868084184292703
100,128,64,0.005,0.06792748520025711
100,256,64,0.005,0.06739388250049662
500,32,64,0.005,0.017466035439782136
500,64,64,0.005,0.015106585992319952
500,128,64,0.005,0.013597758640964732
500,256,64,0.005,0.012662554612028106
1000,32,64,0.005,0.0066840706051742305
1000,64,64,0.005,0.005174140717914437
1000,128,64,0.005,0.00409605428568578
1000,256,64,0.005,0.0034536340138986133
2500,32,64,0.005,0.003024221883976446
2500,64,64,0.005,0.0022643699589409054
2500,128,64,0.005,0.0018397914054989221
2500,256,64,0.005,0.0015810041055324949
5000,32,64,0.005,0.002226935219778056
5000,64,64,0.005,0.0018208481486346063
5000,128,64,0.005,0.001566904039002143
5000,256,64,0.005,0.0013898042669097102
100,32,8,0.01,0.04686851426555684
100,64,8,0.01,0.04468280807288819
100,128,8,0.01,0.043188415024354505
100,256,8,0.01,0.04245530277526553
500,32,8,0.01,0.006744118514962423
500,64,8,0.01,0.005158005249268874
500,128,8,0.01,0.004004992942155026
500,256,8,0.01,0.003260724621368483
1000,32,8,0.01,0.00364102739798243
1000,64,8,0.01,0.002549165885922047
1000,128,8,0.01,0.0020815146478351423
1000,256,8,0.01,0.0018560215456153457
2500,32,8,0.01,0.0023786037244808603
2500,64,8,0.01,0.0019753234697032314
2500,128,8,0.01,0.0016545885298166639
2500,256,8,0.01,0.001578389329167682
5000,32,8,0.01,0.0018991312048150526
5000,64,8,0.01,0.0017014313514862678
5000,128,8,0.01,0.0014814649681565888
5000,256,8,0.01,0.0014631102895211747
100,32,16,0.01,0.046936692842332296
100,64,16,0.01,0.04470599261389843
100,128,16,0.01,0.04347163293727264
100,256,16,0.01,0.0425982885881929
500,32,16,0.01,0.006788916966982107
500,64,16,0.01,0.005212393064536067
500,128,16,0.01,0.004123475249531007
500,256,16,0.01,0.0034865811332537235
1000,32,16,0.01,0.003569216567157845
1000,64,16,0.01,0.0025646490352659013
1000,128,16,0.01,0.0021109731738535717
1000,256,16,0.01,0.0017446131377760188
2500,32,16,0.01,0.0022640744967848702
2500,64,16,0.01,0.0019090176602214793
2500,128,16,0.01,0.001606623917564723
2500,256,16,0.01,0.0014388548281323963
5000,32,16,0.01,0.0018639826381550628
5000,64,16,0.01,0.0016293247254783793
5000,128,16,0.01,0.0014250939620860006
5000,256,16,0.01,0.0013169590258885367
100,32,32,0.01,0.046936692842332296
100,64,32,0.01,0.04470599261389843
100,128,32,0.01,0.04347163293727264
100,256,32,0.01,0.0425982885881929
500,32,32,0.01,0.006788916966982107
500,64,32,0.01,0.005200389390149992
500,128,32,0.01,0.00411410489976785
500,256,32,0.01,0.0034840590338537716
1000,32,32,0.01,0.0035135227618058864
1000,64,32,0.01,0.0025447831378457965
1000,128,32,0.01,0.0020670339886681333
1000,256,32,0.01,0.001748251841868835
2500,32,32,0.01,0.0022210069979714197
2500,64,32,0.01,0.0018968321501070975
2500,128,32,0.01,0.0016043513706545966
2500,256,32,0.01,0.0014330433421197875
5000,32,32,0.01,0.001888395597807828
5000,64,32,0.01,0.0016258258906303154
5000,128,32,0.01,0.0014292278175935863
5000,256,32,0.01,0.0013098596536123064
100,32,64,0.01,0.046936692842332296
100,64,64,0.01,0.04470599261389843
100,128,64,0.01,0.04347163293727264
100,256,64,0.01,0.0425982885881929
500,32,64,0.01,0.006788916966982107
500,64,64,0.01,0.005200389390149992
500,128,64,0.01,0.00411410489976785
500,256,64,0.01,0.0034840590338537716
1000,32,64,0.01,0.0035135227618058864
1000,64,64,0.01,0.0025447831378457965
1000,128,64,0.01,0.0020670339886681333
1000,256,64,0.01,0.001748251841868835
2500,32,64,0.01,0.0022210069979714197
2500,64,64,0.01,0.0018968321501070975
2500,128,64,0.01,0.0016043513706545966
2500,256,64,0.01,0.0014298974524910634
5000,32,64,0.01,0.001888395597807828
5000,64,64,0.01,0.0016258258906303154
5000,128,64,0.01,0.001427419452206832
5000,256,64,0.01,0.0013078286548464117
100,32,8,0.05,0.007167009377720247
100,64,8,0.05,0.0055872771588281874
100,128,8,0.05,0.004422291240936623
100,256,8,0.05,0.0035533373186734424
500,32,8,0.05,0.0029289326147885313
500,64,8,0.05,0.002526089034253116
500,128,8,0.05,0.0021821706773694246
500,256,8,0.05,0.0020398271843170158
1000,32,8,0.05,0.0024487490652784507
1000,64,8,0.05,0.0022417279657140784
1000,128,8,0.05,0.0019671251360048663
1000,256,8,0.05,0.0018865593636292772
2500,32,8,0.05,0.002041438836802673
2500,64,8,0.05,0.00190272267938737
2500,128,8,0.05,0.001740785028182059
2500,256,8,0.05,0.0017178942094339981
5000,32,8,0.05,0.0017869565376276973
5000,64,8,0.05,0.0016913927781627236
5000,128,8,0.05,0.0016374665817238444
5000,256,8,0.05,0.0016403769813396899
100,32,16,0.05,0.007185475219751456
100,64,16,0.05,0.0054115873677695004
100,128,16,0.05,0.004425412495737996
100,256,16,0.05,0.0037827726066535362
500,32,16,0.05,0.002875853470073341
500,64,16,0.05,0.002413290248316859
500,128,16,0.05,0.0021186436889629096
500,256,16,0.05,0.0019249780361897627
1000,32,16,0.05,0.0024378833373297497
1000,64,16,0.05,0.002129124036560707
1000,128,16,0.05,0.0019069128698891535
1000,256,16,0.05,0.001726792537232258
2500,32,16,0.05,0.0020162003705373574
2500,64,16,0.05,0.0018227226623137253
2500,128,16,0.05,0.0016785231183543588
2500,256,16,0.05,0.0015578720359518614
5000,32,16,0.05,0.0017557031268263608
5000,64,16,0.05,0.0016473428877286289
5000,128,16,0.05,0.0015433499781951337
5000,256,16,0.05,0.0014765081761427973
100,32,32,0.05,0.007185475219751456
