n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.07007829236690409
100,64,8,0.005,0.06864544666488803
100,128,8,0.005,0.06777656876657089
100,256,8,0.005,0.06724859698970033
500,32,8,0.005,0.017455869837748463
500,64,8,0.005,0.015028501183378137
500,128,8,0.005,0.013409299706552753
500,256,8,0.005,0.012523251350900943
1000,32,8,0.005,0.0066944030421887575
1000,64,8,0.005,0.005112258406281343
1000,128,8,0.005,0.0040350138960365675
1000,256,8,0.005,0.003309182100369674
2500,32,8,0.005,0.0030875516095097014
2500,64,8,0.005,0.002291990540838488
2500,128,8,0.005,0.0019201571530153977
2500,256,8,0.005,0.0017898256382247726
5000,32,8,0.005,0.002387313912064167
5000,64,8,0.005,0.001934771938989651
5000,128,8,0.005,0.0016789584575668069
5000,256,8,0.005,0.0016239184576048345
100,32,16,0.005,0.07007829236690409
100,64,16,0.005,0.06865383526876107
100,128,16,0.005,0.06790344396565885
100,256,16,0.005,0.06738467720592664
500,32,16,0.005,0.017499197973223215
500,64,16,0.005,0.01507645789893489
500,128,16,0.005,0.013626488790778388
500,256,16,0.005,0.012671730318251105
1000,32,16,0.005,0.006713980812752124
1000,64,16,0.005,0.005102744226557632
1000,128,16,0.005,0.004084581466607277
1000,256,16,0.005,0.0034668173411586964
2500,32,16,0.005,0.0030657387708618398
2500,64,16,0.005,0.002287691134975034
2500,128,16,0.005,0.0019061238931712165
2500,256,16,0.005,0.0016544377734340288
5000,32,16,0.005,0.00228662540980839
5000,64,16,0.005,0.0019143467624522816
5000,128,16,0.005,0.0016174685305311862
5000,256,16,0.005,0.001445860999243885
100,32,32,0.005,0.07007829236690409
100,64,32,0.005,0.06865383526876107
100,128,32,0.005,0.06790344396565885
100,256,32,0.005,0.06738467720592664
500,32,32,0.005,0.017499197973223215
500,64,32,0.005,0.01507645789893489
500,128,32,0.005,0.013626531918413329
500,256,32,0.005,0.012668682518932049
1000,32,32,0.005,0.006713980812752124
1000,64,32,0.005,0.005112983800031058
1000,128,32,0.005,0.004094259941150743
1000,256,32,0.005,0.0034645020634433686
2500,32,32,0.005,0.0030657387708618398
2500,64,32,0.005,0.0022901343974050968
2500,128,32,0.005,0.0019341863713030704
2500,256,32,0.005,0.0016218552639077068
5000,32,32,0.005,0.00228662540980839
5000,64,32,0.005,0.0019020853232980673
5000,128,32,0.005,0.0016399103445347435
5000,256,32,0.005,0.0014382599777603043
100,32,64,0.005,0.07007829236690409
100,64,64,0.005,0.06865383526876107
100,128,64,0.005,0.06790344396565885
100,256,64,0.005,0.06738467720592664
500,32,64,0.005,0.017499197973223215
500,64,64,0.005,0.01507645789893489
500,128,64,0.005,0.013626531918413329
500,256,64,0.005,0.012668682518932049
1000,32,64,0.005,0.006713980812752124
1000,64,64,0.005,0.005112983800031058
1000,128,64,0.005,0.004094259941150743
1000,256,64,0.005,0.0034645020634433686
2500,32,64,0.005,0.0030657387708618398
2500,64,64,0.005,0.0022901343974050968
2500,128,64,0.005,0.0019341863713030704
2500,256,64,0.005,0.0016223819303975168
5000,32,64,0.005,0.00228662540980839
5000,64,64,0.005,0.0019020853232980673
5000,128,64,0.005,0.0016537553771453091
5000,256,64,0.005,0.0014483370928776776
100,32,8,0.01,0.04680006186859792
100,64,8,0.01,0.044630303215010735
100,128,8,0.01,0.04322369350030031
100,256,8,0.01,0.04245922900229038
500,32,8,0.01,0.006746755988541677
500,64,8,0.01,0.005115415624838499
500,128,8,0.01,0.00406059026572717
