n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.06941243855216203
100,64,8,0.005,0.06803816570448643
100,128,8,0.005,0.06705481796779708
100,256,8,0.005,0.06698988980050934
500,32,8,0.005,0.017524061524516122
500,64,8,0.005,0.015270820487561924
500,128,8,0.005,0.013643528583141098
500,256,8,0.005,0.013434732834887567
1000,32,8,0.005,0.006924453855387654
1000,64,8,0.005,0.005638006577079556
1000,128,8,0.005,0.004536564552353038
1000,256,8,0.005,0.0044274434347509346
2500,32,8,0.005,0.003764148132568174
2500,64,8,0.005,0.0032200023816471596
2500,128,8,0.005,0.0029877563624857986
2500,256,8,0.005,0.0029567689012132935
5000,32,8,0.005,0.003164417903855739
5000,64,8,0.005,0.0029468474239930835
5000,128,8,0.005,0.002814279664092127
5000,256,8,0.005,0.0027521022962278376
100,32,16,0.005,0.06941243855216203
100,64,16,0.005,0.06807063162061172
100,128,16,0.005,0.06707041676664466
100,256,16,0.005,0.06695197596466533
500,32,16,0.005,0.017510701058639385
500,64,16,0.005,0.015293846199204634
500,128,16,0.005,0.013906841473982976
500,256,16,0.005,0.013300457504275236
1000,32,16,0.005,0.006961183817574614
1000,64,16,0.005,0.005584777143436797
1000,128,16,0.005,0.004774070903228259
1000,256,16,0.005,0.004236873512990743
2500,32,16,0.005,0.00361766772231608
2500,64,16,0.005,0.003132623843152428
2500,128,16,0.005,0.0029089050063039255
2500,256,16,0.005,0.002776277032052468
5000,32,16,0.005,0.0030912084825039585
5000,64,16,0.005,0.0028151234229989476
5000,128,16,0.005,0.0027370329564675886
5000,256,16,0.005,0.0026450072822760255
100,32,32,0.005,0.06941243855216203
100,64,32,0.005,0.06807063162061172
100,128,32,0.005,0.06707041676664466
100,256,32,0.005,0.06695197596466533
500,32,32,0.005,0.017510701058639385
500,64,32,0.005,0.015293846199204634
500,128,32,0.005,0.013951811586488932
500,256,32,0.005,0.013360559533703444
1000,32,32,0.005,0.006961183817574614
1000,64,32,0.005,0.005592258838911747
1000,128,32,0.005,0.004660890147109479
1000,256,32,0.005,0.004252072769603858
2500,32,32,0.005,0.003600256973141365
2500,64,32,0.005,0.0031453896387388606
2500,128,32,0.005,0.0028771360869982976
2500,256,32,0.005,0.0027625193112801798
5000,32,32,0.005,0.0030522269843905802
5000,64,32,0.005,0.0028459434544003234
5000,128,32,0.005,0.0026941591305052553
5000,256,32,0.005,0.0026255107985493718
100,32,64,0.005,0.06941243855216203
100,64,64,0.005,0.06807063162061172
100,128,64,0.005,0.06707041676664466
100,256,64,0.005,0.06695197596466533
500,32,64,0.005,0.017510701058639385
500,64,64,0.005,0.015293846199204634
500,128,64,0.005,0.013951811586488932
500,256,64,0.005,0.013360559533703444
1000,32,64,0.005,0.006961183817574614
1000,64,64,0.005,0.005592258838911747
1000,128,64,0.005,0.004660890147109479
1000,256,64,0.005,0.004248769310829573
2500,32,64,0.005,0.003600256973141365
2500,64,64,0.005,0.0031453896387388606
2500,128,64,0.005,0.0028801091001059717
2500,256,64,0.005,0.0027691090023408767
5000,32,64,0.005,0.0030522269843905802
5000,64,64,0.005,0.0028459434544003234
5000,128,64,0.005,0.002703095575801267
5000,256,64,0.005,0.0026213190721642407
100,32,8,0.01,0.04669437270155819
100,64,8,0.01,0.04456796975716723
100,128,8,0.01,0.04307120005527245
100,256,8,0.01,0.0429104180599811
500,32,8,0.01,0.006852081742970907
500,64,8,0.01,0.0055634368331690534
500,128,8,0.01,0.004575047233212223
500,256,8,0.01,0.004467122661530621
1000,32,8,0.01,0.003989139983839021
1000,64,8,0.01,0.003361747119815317
1000,128,8,0.01,0.0031453869068153854
1000,256,8,0.01,0.003094699679789961
2500,32,8,0.01,0.003169658452352378
2500,64,8,0.01,0.0029427339201490437
2500,128,8,0.01,0.0028254461618564793
2500,256,8,0.01,0.0027699895153763176
5000,32,8,0.01,0.002862034433232006
5000,64,8,0.01,0.002790888146434182
5000,128,8,0.01,0.002719724506764697
5000,256,8,0.01,0.002652483010126563
100,32,16,0.01,0.04669437270155819
