n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.06971143236608758
100,64,8,0.005,0.06837062206481843
100,128,8,0.005,0.06778939701493224
100,256,8,0.005,0.06778939701493224
500,32,8,0.005,0.017839377195654458
500,64,8,0.005,0.015524770833214732
500,128,8,0.005,0.014175467814205362
500,256,8,0.005,0.014133260280114164
1000,32,8,0.005,0.007272675012985646
1000,64,8,0.005,0.005978952302889471
1000,128,8,0.005,0.005048322557200557
1000,256,8,0.005,0.00502055397536375
2500,32,8,0.005,0.00418327825941792
2500,64,8,0.005,0.0036916221477489727
2500,128,8,0.005,0.003345878968914789
2500,256,8,0.005,0.0033345317994569407
5000,32,8,0.005,0.003693775357697834
5000,64,8,0.005,0.0033153209568751165
5000,128,8,0.005,0.0031197230906800616
5000,256,8,0.005,0.0030421643560389127
100,32,16,0.005,0.06971143236608758
100,64,16,0.005,0.06833956798947066
100,128,16,0.005,0.06768610078832533
100,256,16,0.005,0.06768610078832533
500,32,16,0.005,0.017858109875463823
500,64,16,0.005,0.015613257421356504
500,128,16,0.005,0.014355669897069623
500,256,16,0.005,0.013865731682799233
1000,32,16,0.005,0.0073050938157976
1000,64,16,0.005,0.005860735266718635
1000,128,16,0.005,0.005010970911175416
1000,256,16,0.005,0.004712990118742028
2500,32,16,0.005,0.004170093859697394
2500,64,16,0.005,0.003459486834350522
2500,128,16,0.005,0.0032531970249350295
2500,256,16,0.005,0.003161265720421707
5000,32,16,0.005,0.003633914151273628
5000,64,16,0.005,0.0031486217169875742
5000,128,16,0.005,0.0030570634078550844
5000,256,16,0.005,0.0030016823661597534
100,32,32,0.005,0.06971143236608758
100,64,32,0.005,0.06833956798947066
100,128,32,0.005,0.06768610078832533
100,256,32,0.005,0.06768610078832533
500,32,32,0.005,0.017858109875463823
500,64,32,0.005,0.015613257421356504
500,128,32,0.005,0.014359306839614895
500,256,32,0.005,0.013887771304539054
1000,32,32,0.005,0.0073050938157976
1000,64,32,0.005,0.005910951809155765
1000,128,32,0.005,0.005044870062535688
1000,256,32,0.005,0.0047666029206641924
2500,32,32,0.005,0.004170093859697394
2500,64,32,0.005,0.0034880895194557542
2500,128,32,0.005,0.003249024796158793
2500,256,32,0.005,0.0031297628258462754
5000,32,32,0.005,0.0036127341902318123
5000,64,32,0.005,0.0031697097914778673
5000,128,32,0.005,0.003055252539696964
5000,256,32,0.005,0.002954239853899293
100,32,64,0.005,0.06971143236608758
100,64,64,0.005,0.06833956798947066
100,128,64,0.005,0.06768610078832533
100,256,64,0.005,0.06768610078832533
500,32,64,0.005,0.017858109875463823
500,64,64,0.005,0.015613257421356504
500,128,64,0.005,0.014359306839614895
500,256,64,0.005,0.013887771304539054
1000,32,64,0.005,0.0073050938157976
1000,64,64,0.005,0.005910951809155765
1000,128,64,0.005,0.005044870062535688
1000,256,64,0.005,0.004795496593367094
2500,32,64,0.005,0.004170093859697394
2500,64,64,0.005,0.0034880895194557542
2500,128,64,0.005,0.003253722999160142
2500,256,64,0.005,0.003127581685176522
5000,32,64,0.005,0.0036127341902318123
5000,64,64,0.005,0.0031697097914778673
5000,128,64,0.005,0.0030596275614151844
5000,256,64,0.005,0.002959531670042643
100,32,8,0.01,0.046776193363881634
100,64,8,0.01,0.044609782730184316
100,128,8,0.01,0.043402662085446735
100,256,8,0.01,0.043413087217633615
500,32,8,0.01,0.007416535795253177
500,64,8,0.01,0.006110264173337947
500,128,8,0.01,0.005093241245215012
500,256,8,0.01,0.004969438635013475
1000,32,8,0.01,0.004783132211256763
1000,64,8,0.01,0.0038695549836187653
1000,128,8,0.01,0.003585442250917544
1000,256,8,0.01,0.0034198567596886316
2500,32,8,0.01,0.003806018757487151
2500,64,8,0.01,0.003303943226806898
2500,128,8,0.01,0.003139895375887379
2500,256,8,0.01,0.0030222074179072273
5000,32,8,0.01,0.0035183610555386048
5000,64,8,0.01,0.003142300772363585
5000,128,8,0.01,0.003012066840299916
5000,256,8,0.01,0.002884366187529115
100,32,16,0.01,0.046779006308644226
100,64,16,0.01,0.044523184335514956
100,128,16,0.01,0.04348093764900947
100,256,16,0.01,0.043422978566106836
500,32,16,0.01,0.007369943253072845
500,64,16,0.01,0.005886362303098218
500,128,16,0.01,0.005066027673138081
500,256,16,0.01,0.004743017590905831
1000,32,16,0.01,0.00453237191830249
1000,64,16,0.01,0.0036817814434658663
1000,128,16,0.01,0.0034367121060610347
1000,256,16,0.01,0.0032749144347329713
2500,32,16,0.01,0.0036460557142724316
2500,64,16,0.01,0.0031407888909831855
2500,128,16,0.01,0.003116085695988926
2500,256,16,0.01,0.0029554058994863018
5000,32,16,0.01,0.0033015481022195536
5000,64,16,0.01,0.002971035741356913
5000,128,16,0.01,0.0029780688448272277
5000,256,16,0.01,0.002866868043141234
100,32,32,0.01,0.046779006308644226
100,64,32,0.01,0.044523184335514956
100,128,32,0.01,0.04348093764900947
100,256,32,0.01,0.043422978566106836
500,32,32,0.01,0.007369943253072845
500,64,32,0.01,0.005851898439167626
500,128,32,0.01,0.00512928181226999
500,256,32,0.01,0.00477515293542577
1000,32,32,0.01,0.00453237191830249
1000,64,32,0.01,0.0037142046054052147
1000,128,32,0.01,0.003478535114399629
1000,256,32,0.01,0.0032445442750461346
2500,32,32,0.01,0.0036254270065676003
2500,64,32,0.01,0.0031439144233959882
2500,128,32,0.01,0.0031257923814058245
2500,256,32,0.01,0.0029469256328015837
5000,32,32,0.01,0.0032851453189382466
5000,64,32,0.01,0.002976438512640801
5000,128,32,0.01,0.002997269490264502
5000,256,32,0.01,0.0028674177976960105
100,32,64,0.01,0.046779006308644226
100,64,64,0.01,0.044523184335514956
100,128,64,0.01,0.04348093764900947
100,256,64,0.01,0.043422978566106836
500,32,64,0.01,0.007369943253072845
500,64,64,0.01,0.005851898439167626
500,128,64,0.01,0.00512928181226999
500,256,64,0.01,0.00479454094249683
1000,32,64,0.01,0.00453237191830249
1000,64,64,0.01,0.0037142046054052147
1000,128,64,0.01,0.0034794439854655
1000,256,64,0.01,0.003236433298496653
2500,32,64,0.01,0.0036254270065676003
2500,64,64,0.01,0.0031439144233959882
2500,128,64,0.01,0.0031237555272660826
2500,256,64,0.01,0.0029428598628384534
5000,32,64,0.01,0.0032851453189382466
5000,64,64,0.01,0.002976438512640801
5000,128,64,0.01,0.0029860796078946227
5000,256,64,0.01,0.002864462842711205
100,32,8,0.05,0.007891155025688216
100,64,8,0.05,0.006361257213253925
100,128,8,0.05,0.0054452433639296
100,256,8,0.05,0.0054450844565096775
500,32,8,0.05,0.004198704265272987
500,64,8,0.05,0.003785136089882691
500,128,8,0.05,0.003727476610858304
500,256,8,0.05,0.0036490571379604393
1000,32,8,0.05,0.003878569562355579
1000,64,8,0.05,0.0036045948958735884
1000,128,8,0.05,0.00356727126707913
1000,256,8,0.05,0.0034994587146360747
2500,32,8,0.05,0.0035893017060043366
2500,64,8,0.05,0.0034403628817718927
2500,128,8,0.05,0.003445217492651595
2500,256,8,0.05,0.0033936512468673613
5000,32,8,0.05,0.0034393637100442608
5000,64,8,0.05,0.003342495042963472
5000,128,8,0.05,0.0033693901801851943
5000,256,8,0.05,0.0033295435547553488
100,32,16,0.05,0.007766287392401508
100,64,16,0.05,0.006309261694509451
100,128,16,0.05,0.005559414280815507
100,256,16,0.05,0.005092550180887185
500,32,16,0.05,0.004008248285786353
500,64,16,0.05,0.0036733765897690816
500,128,16,0.05,0.003603326135428687
500,256,16,0.05,0.0034173078261647664
1000,32,16,0.05,0.003717104646988367
1000,64,16,0.05,0.0034858971098991045
