n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.06971494586975223
100,64,8,0.005,0.06836501478242187
100,128,8,0.005,0.06795689186435096
100,256,8,0.005,0.06795689186435096
500,32,8,0.005,0.018025349261108433
500,64,8,0.005,0.015654991321815095
500,128,8,0.005,0.014677188180395507
500,256,8,0.005,0.014677188180395507
1000,32,8,0.005,0.007636108731366259
1000,64,8,0.005,0.006124312354764955
1000,128,8,0.005,0.005444374665354271
1000,256,8,0.005,0.005444374665354271
2500,32,8,0.005,0.004549506965341816
2500,64,8,0.005,0.003946840541242695
2500,128,8,0.005,0.003699958118043386
2500,256,8,0.005,0.003699958118043386
5000,32,8,0.005,0.004014268741133199
5000,64,8,0.005,0.003642333469392394
5000,128,8,0.005,0.003427935707751166
5000,256,8,0.005,0.003427935707751166
100,32,16,0.005,0.06971494586975223
100,64,16,0.005,0.06838291359692349
100,128,16,0.005,0.06795986730882979
100,256,16,0.005,0.06795986730882979
500,32,16,0.005,0.018027338327088898
500,64,16,0.005,0.015766008189760376
500,128,16,0.005,0.014800134239392632
500,256,16,0.005,0.014472291772919482
1000,32,16,0.005,0.007686740462782414
1000,64,16,0.005,0.006282574191047191
1000,128,16,0.005,0.005531212846706191
1000,256,16,0.005,0.005251249771355934
2500,32,16,0.005,0.004485410319404725
2500,64,16,0.005,0.003846698748590344
2500,128,16,0.005,0.0036948527288885574
2500,256,16,0.005,0.0035394641062855767
5000,32,16,0.005,0.003957430606424584
5000,64,16,0.005,0.0035411559022598166
5000,128,16,0.005,0.003514757107017432
5000,256,16,0.005,0.0033454574305306515
100,32,32,0.005,0.06971494586975223
100,64,32,0.005,0.06838291359692349
100,128,32,0.005,0.06795986730882979
100,256,32,0.005,0.06795986730882979
500,32,32,0.005,0.018027338327088898
500,64,32,0.005,0.015766008189760376
500,128,32,0.005,0.01481024485715773
500,256,32,0.005,0.014543220900900461
1000,32,32,0.005,0.007686740462782414
1000,64,32,0.005,0.006232429577204563
1000,128,32,0.005,0.0055651424685004775
1000,256,32,0.005,0.005238494044756351
2500,32,32,0.005,0.0044508276523767005
2500,64,32,0.005,0.0038353930892751275
2500,128,32,0.005,0.0036495998294995917
2500,256,32,0.005,0.003453217298598215
5000,32,32,0.005,0.0038748720116621154
5000,64,32,0.005,0.003547002358465729
5000,128,32,0.005,0.003478538620062004
5000,256,32,0.005,0.0032983856301558117
100,32,64,0.005,0.06971494586975223
100,64,64,0.005,0.06838291359692349
100,128,64,0.005,0.06795986730882979
100,256,64,0.005,0.06795986730882979
500,32,64,0.005,0.018027338327088898
500,64,64,0.005,0.015766008189760376
500,128,64,0.005,0.01481024485715773
500,256,64,0.005,0.014543220900900461
1000,32,64,0.005,0.007686740462782414
1000,64,64,0.005,0.006232429577204563
1000,128,64,0.005,0.0055651424685004775
1000,256,64,0.005,0.005237201101903798
2500,32,64,0.005,0.0044508276523767005
2500,64,64,0.005,0.0038353930892751275
2500,128,64,0.005,0.003669083892209496
2500,256,64,0.005,0.0035110772778414374
5000,32,64,0.005,0.0038748720116621154
5000,64,64,0.005,0.003547002358465729
5000,128,64,0.005,0.0034890660721033457
5000,256,64,0.005,0.0033308804104128626
100,32,8,0.01,0.046707027916223255
100,64,8,0.01,0.044629920816267585
100,128,8,0.01,0.04390110074866422
100,256,8,0.01,0.04390110074866422
500,32,8,0.01,0.007606897348740473
500,64,8,0.01,0.006226592427559408
500,128,8,0.01,0.005623115412924587
500,256,8,0.01,0.005623115412924587
1000,32,8,0.01,0.004913477642806734
1000,64,8,0.01,0.004245154415545303
1000,128,8,0.01,0.003982545938335652
1000,256,8,0.01,0.003982545938335652
2500,32,8,0.01,0.00391071855219509
2500,64,8,0.01,0.0037198048019448293
2500,128,8,0.01,0.00351936610798532
2500,256,8,0.01,0.00351936610798532
5000,32,8,0.01,0.003643752040481128
5000,64,8,0.01,0.003521828396342486
5000,128,8,0.01,0.0034094706294896288
5000,256,8,0.01,0.0034094706294896288
100,32,16,0.01,0.04669049064988836
100,64,16,0.01,0.044684308117913414
100,128,16,0.01,0.0438640111355131
100,256,16,0.01,0.0438640111355131
500,32,16,0.01,0.007619345712386296
500,64,16,0.01,0.006224182129359839
500,128,16,0.01,0.005552682441585761
500,256,16,0.01,0.005373344750263412
1000,32,16,0.01,0.004742153752514472
1000,64,16,0.01,0.004058867926232841
1000,128,16,0.01,0.00378444750290299
1000,256,16,0.01,0.003749569326000011
2500,32,16,0.01,0.0038083413794338552
2500,64,16,0.01,0.003590102908602566
2500,128,16,0.01,0.003478276380658543
2500,256,16,0.01,0.0034313628528950574
5000,32,16,0.01,0.0035080170716172776
5000,64,16,0.01,0.003450698312437378
5000,128,16,0.01,0.003376552133991037
5000,256,16,0.01,0.00332638800932905
100,32,32,0.01,0.04669049064988836
100,64,32,0.01,0.044684308117913414
100,128,32,0.01,0.0438640111355131
100,256,32,0.01,0.0438640111355131
500,32,32,0.01,0.007619345712386296
500,64,32,0.01,0.006229080675077809
500,128,32,0.01,0.0054926947725443005
500,256,32,0.01,0.005307346655274931
1000,32,32,0.01,0.00469795536721533
1000,64,32,0.01,0.004098472805830842
1000,128,32,0.01,0.0038023624516057906
1000,256,32,0.01,0.0036633963269663934
2500,32,32,0.01,0.0038435035842455
2500,64,32,0.01,0.003602654747011153
2500,128,32,0.01,0.0034876579617234525
2500,256,32,0.01,0.0033851407314503114
5000,32,32,0.01,0.003533111624118117
5000,64,32,0.01,0.003446841390194295
5000,128,32,0.01,0.0033437728035768427
5000,256,32,0.01,0.0033005500896317787
100,32,64,0.01,0.04669049064988836
100,64,64,0.01,0.044684308117913414
100,128,64,0.01,0.0438640111355131
100,256,64,0.01,0.0438640111355131
500,32,64,0.01,0.007619345712386296
500,64,64,0.01,0.006229080675077809
500,128,64,0.01,0.005490129681726581
500,256,64,0.01,0.00529637845569093
1000,32,64,0.01,0.00469795536721533
1000,64,64,0.01,0.004098472805830842
1000,128,64,0.01,0.0037771124848634398
1000,256,64,0.01,0.0036633838751234248
2500,32,64,0.01,0.0038435035842455
2500,64,64,0.01,0.003602654747011153
2500,128,64,0.01,0.00347901045853634
2500,256,64,0.01,0.0033558190845651634
5000,32,64,0.01,0.003533111624118117
5000,64,64,0.01,0.003458248990639912
5000,128,64,0.01,0.003366404926147693
5000,256,64,0.01,0.0032777558284338548
100,32,8,0.05,0.007969296442378312
100,64,8,0.05,0.006756973985572115
100,128,8,0.05,0.005906067960531112
100,256,8,0.05,0.005906067960531112
500,32,8,0.05,0.004388262895341436
500,64,8,0.05,0.004144975217360393
500,128,8,0.05,0.004012660262575394
500,256,8,0.05,0.004012660262575394
1000,32,8,0.05,0.004083021555587113
1000,64,8,0.05,0.003942264400791763
1000,128,8,0.05,0.003885064741720842
1000,256,8,0.05,0.003885064741720842
2500,32,8,0.05,0.0038069456763279367
2500,64,8,0.05,0.0037921960624243346
2500,128,8,0.05,0.003749822843338019
2500,256,8,0.05,0.003749822843338019
5000,32,8,0.05,0.003691303269825065
5000,64,8,0.05,0.0037081212043452074
5000,128,8,0.05,0.0036843545495169805
5000,256,8,0.05,0.0036843545495169805
100,32,16,0.05,0.007813632386998793
100,64,16,0.05,0.006738363508478445
100,128,16,0.05,0.005770451256094493
100,256,16,0.05,0.0055127892041710825
500,32,16,0.05,0.004279864131866204
500,64,16,0.05,0.0040178572325011465
500,128,16,0.05,0.0038112541724349726
500,256,16,0.05,0.003832725636062576
1000,32,16,0.05,0.0039641625327121325
1000,64,16,0.05,0.0038200673651314476
1000,128,16,0.05,0.0036977911712942238
1000,256,16,0.05,0.003710255930205862
2500,32,16,0.05,0.003729482940265507
2500,64,16,0.05,0.003668052083807979
2500,128,16,0.05,0.0036090304820075437
2500,256,16,0.05,0.003621698271996708
5000,32,16,0.05,0.003617579454136692
5000,64,16,0.05,0.0035982318109080997
5000,128,16,0.05,0.0035635233415039
5000,256,16,0.05,0.0035766160494203566
100,32,32,0.05,0.007813632386998793
100,64,32,0.05,0.006697088476404529
100,128,32,0.05,0.005900957979915384
100,256,32,0.05,0.005407216045185793
500,32,32,0.05,0.004278102233233461
500,64,32,0.05,0.004087217302374772
500,128,32,0.05,0.0038489575869403376
500,256,32,0.05,0.003746138567673567
1000,32,32,0.05,0.003954148788683613
1000,64,32,0.05,0.0038901219484927417
1000,128,32,0.05,0.0037416522605418015
1000,256,32,0.05,0.0036547849897407433
2500,32,32,0.05,0.003730300756197743
2500,64,32,0.05,0.0037450415768006647
2500,128,32,0.05,0.003637593854189577
2500,256,32,0.05,0.003574739182933434
5000,32,32,0.05,0.003611193184754922
5000,64,32,0.05,0.003677335032372013
5000,128,32,0.05,0.0035834899095207634
5000,256,32,0.05,0.003546818498040663
100,32,64,0.05,0.007813632386998793
100,64,64,0.05,0.006697088476404529
100,128,64,0.05,0.005900957979915384
100,256,64,0.05,0.005434899039279431
500,32,64,0.05,0.004278102233233461
500,64,64,0.05,0.004087217302374772
500,128,64,0.05,0.0038512759666277175
500,256,64,0.05,0.0037851502393421994
1000,32,64,0.05,0.003954148788683613
1000,64,64,0.05,0.0038901219484927417
1000,128,64,0.05,0.0037390142586676473
1000,256,64,0.05,0.003697527135199347
2500,32,64,0.05,0.003730300756197743
2500,64,64,0.05,0.0037433210703000995
2500,128,64,0.05,0.003644194698392108
2500,256,64,0.05,0.0036228090114746743
5000,32,64,0.05,0.003611193184754922
5000,64,64,0.05,0.003677956896717191
5000,128,64,0.05,0.003582252933271232
5000,256,64,0.05,0.0035754608867810296
100,32,8,0.1,0.006423182854564635
100,64,8,0.1,0.0053604646026469225
100,128,8,0.1,0.005074920771144999
100,256,8,0.1,0.005074920771144999
500,32,8,0.1,0.00499859754344893
500,64,8,0.1,0.004642793275838118
500,128,8,0.1,0.004532647369902033
500,256,8,0.1,0.004532647369902033
1000,32,8,0.1,0.004770517798415449
1000,64,8,0.1,0.004505093373431758
1000,128,8,0.1,0.004413312424004153
1000,256,8,0.1,0.004413312424004153
2500,32,8,0.1,0.004503261845298102
2500,64,8,0.1,0.004368288190347949
2500,128,8,0.1,0.004291112331202076
2500,256,8,0.1,0.004291112331202076
5000,32,8,0.1,0.004379456094545802
5000,64,8,0.1,0.004291809477722671
5000,128,8,0.1,0.0042294253281812575
5000,256,8,0.1,0.0042294253281812575
100,32,16,0.1,0.006308034064319267
100,64,16,0.1,0.005398054516191772
100,128,16,0.1,0.00494171017829325
100,256,16,0.1,0.0048671138482734065
500,32,16,0.1,0.004923803237133472
500,64,16,0.1,0.004587732743456934
500,128,16,0.1,0.004406310048687187
500,256,16,0.1,0.0043707290268839094
1000,32,16,0.1,0.00466138630568344
1000,64,16,0.1,0.0044365778091386915
1000,128,16,0.1,0.004325893752432165
1000,256,16,0.1,0.004294163738934099
2500,32,16,0.1,0.004442174431028891
2500,64,16,0.1,0.004311005899477935
2500,128,16,0.1,0.004237082910389313
2500,256,16,0.1,0.004233737609703297
5000,32,16,0.1,0.004338659707649374
5000,64,16,0.1,0.004245616545271998
5000,128,16,0.1,0.004189768970661882
5000,256,16,0.1,0.004193118110384513
100,32,32,0.1,0.00633690558078454
100,64,32,0.1,0.005383365116189854
100,128,32,0.1,0.004885417304920975
100,256,32,0.1,0.0048079131806650875
500,32,32,0.1,0.004942431910554918
500,64,32,0.1,0.004613072076475351
500,128,32,0.1,0.004365475434725331
500,256,32,0.1,0.004426744469315311
1000,32,32,0.1,0.004659587716478528
1000,64,32,0.1,0.004462694223631745
1000,128,32,0.1,0.004294611756008541
1000,256,32,0.1,0.004369484271832669
2500,32,32,0.1,0.004419470377581177
2500,64,32,0.1,0.004345149925575681
2500,128,32,0.1,0.004227509203323784
2500,256,32,0.1,0.004329086282528054
5000,32,32,0.1,0.0043138674224236905
5000,64,32,0.1,0.0042844815507390695
5000,128,32,0.1,0.004190398011433427
5000,256,32,0.1,0.004301489677939079
100,32,64,0.1,0.00633690558078454
100,64,64,0.1,0.005383365116189854
100,128,64,0.1,0.004885417304920975
100,256,64,0.1,0.00482484228728857
500,32,64,0.1,0.004942431910554918
500,64,64,0.1,0.004613072076475351
500,128,64,0.1,0.0043444029187383
500,256,64,0.1,0.004396833393651223
1000,32,64,0.1,0.004659587716478528
1000,64,64,0.1,0.004462694223631745
1000,128,64,0.1,0.004269807666677087
1000,256,64,0.1,0.004342966277233039
2500,32,64,0.1,0.004419470377581177
2500,64,64,0.1,0.004345149925575681
2500,128,64,0.1,0.004206036639257053
2500,256,64,0.1,0.004293571863892295
5000,32,64,0.1,0.0043138674224236905
5000,64,64,0.1,0.0042844815507390695
5000,128,64,0.1,0.004169701761292156
5000,256,64,0.1,0.004263099886516321
100,32,8,0.5,0.009769364650911964
100,64,8,0.5,0.009638426341109117
100,128,8,0.5,0.009585974840523167
100,256,8,0.5,0.009585974840523167
500,32,8,0.5,0.00853855602079631
500,64,8,0.5,0.009056783808559739
500,128,8,0.5,0.00911597934744521
500,256,8,0.5,0.00911597934744521
1000,32,8,0.5,0.008381439549177526
1000,64,8,0.5,0.008895020481606267
1000,128,8,0.5,0.00901022580219158
1000,256,8,0.5,0.00901022580219158
2500,32,8,0.5,0.008150510157017041
2500,64,8,0.5,0.00878071801994967
2500,128,8,0.5,0.008882454679656194
2500,256,8,0.5,0.008882454679656194
5000,32,8,0.5,0.008036636748210419
5000,64,8,0.5,0.008706871154570531
5000,128,8,0.5,0.008831631533963352
5000,256,8,0.5,0.008831631533963352
100,32,16,0.5,0.009610231502480575
100,64,16,0.5,0.008639708583801885
100,128,16,0.5,0.009208198197662781
100,256,16,0.5,0.009484939416138193
500,32,16,0.5,0.008536730833108524
500,64,16,0.5,0.008217436248819205
500,128,16,0.5,0.0088377667513161
500,256,16,0.5,0.009168816540768905
1000,32,16,0.5,0.00833928955588548
1000,64,16,0.5,0.00813198315004275
1000,128,16,0.5,0.008782709022615366
1000,256,16,0.5,0.009103313144843637
