n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.06962154250789525
100,64,8,0.005,0.0683110545737305
100,128,8,0.005,0.06737734715466004
100,256,8,0.005,0.06698283221986477
500,32,8,0.005,0.017480003962758155
500,64,8,0.005,0.01506880620636947
500,128,8,0.005,0.013390224418842104
500,256,8,0.005,0.012612815600446673
1000,32,8,0.005,0.006857963706902331
1000,64,8,0.005,0.005309292120340641
1000,128,8,0.005,0.004141138683341725
1000,256,8,0.005,0.0035021817834233232
2500,32,8,0.005,0.0033712626314149007
2500,64,8,0.005,0.0024919643473059116
2500,128,8,0.005,0.002116510309091933
2500,256,8,0.005,0.0019785480639959475
5000,32,8,0.005,0.002638225017663234
5000,64,8,0.005,0.0021725671590191245
5000,128,8,0.005,0.001895917944425695
5000,256,8,0.005,0.0017940818712631277
100,32,16,0.005,0.06962154250789525
100,64,16,0.005,0.06830339500836004
100,128,16,0.005,0.0675344269706619
100,256,16,0.005,0.06696900806557214
500,32,16,0.005,0.017467050090647057
500,64,16,0.005,0.015174650842324758
500,128,16,0.005,0.013641943072552289
500,256,16,0.005,0.012695903683761773
1000,32,16,0.005,0.006809539355286777
1000,64,16,0.005,0.005263141453429748
1000,128,16,0.005,0.00425367832330791
1000,256,16,0.005,0.0036614341031288382
2500,32,16,0.005,0.003359258346503127
2500,64,16,0.005,0.0024871750119876395
2500,128,16,0.005,0.0020618532888822764
2500,256,16,0.005,0.0018418890189632903
5000,32,16,0.005,0.0025678765693234098
5000,64,16,0.005,0.0020714174637264634
5000,128,16,0.005,0.001808560771347153
5000,256,16,0.005,0.0016551985062717661
100,32,32,0.005,0.06962154250789525
100,64,32,0.005,0.06830339500836004
100,128,32,0.005,0.0675344269706619
100,256,32,0.005,0.06696900806557214
500,32,32,0.005,0.017467050090647057
500,64,32,0.005,0.015174650842324758
500,128,32,0.005,0.013641943072552289
500,256,32,0.005,0.012710868175609057
1000,32,32,0.005,0.006809539355286777
1000,64,32,0.005,0.00527108846317439
1000,128,32,0.005,0.00425602511381312
1000,256,32,0.005,0.0036205339305877163
2500,32,32,0.005,0.003370024675954395
2500,64,32,0.005,0.0024738532817215496
2500,128,32,0.005,0.002048287542776617
2500,256,32,0.005,0.0018111100036919741
5000,32,32,0.005,0.0025930305114384693
5000,64,32,0.005,0.0020599558587008353
5000,128,32,0.005,0.0017999426058515028
5000,256,32,0.005,0.0016320001390987557
100,32,64,0.005,0.06962154250789525
100,64,64,0.005,0.06830339500836004
100,128,64,0.005,0.0675344269706619
100,256,64,0.005,0.06696900806557214
500,32,64,0.005,0.017467050090647057
500,64,64,0.005,0.015174650842324758
500,128,64,0.005,0.013641943072552289
500,256,64,0.005,0.012710868175609057
1000,32,64,0.005,0.006809539355286777
1000,64,64,0.005,0.00527108846317439
1000,128,64,0.005,0.00425602511381312
1000,256,64,0.005,0.0036205339305877163
2500,32,64,0.005,0.003370024675954395
2500,64,64,0.005,0.0024738532817215496
2500,128,64,0.005,0.002048287542776617
2500,256,64,0.005,0.0018162902643737856
5000,32,64,0.005,0.0025930305114384693
5000,64,64,0.005,0.0020599558587008353
5000,128,64,0.005,0.0017971814625628766
5000,256,64,0.005,0.0016321562841171684
100,32,8,0.01,0.04650358237065622
100,64,8,0.01,0.044445924612060504
100,128,8,0.01,0.04298092637897932
100,256,8,0.01,0.042294838919285246
500,32,8,0.01,0.006829628271523509
500,64,8,0.01,0.005362839131810148
500,128,8,0.01,0.004217863502201359
500,256,8,0.01,0.003544810694631694
1000,32,8,0.01,0.003940284124449929
1000,64,8,0.01,0.0028113362681083222
1000,128,8,0.01,0.0023232064494863166
1000,256,8,0.01,0.0021131622041108394
2500,32,8,0.01,0.00265684603509963
2500,64,8,0.01,0.0021927169936703486
2500,128,8,0.01,0.0019468990190283488
2500,256,8,0.01,0.0018653141737816398
5000,32,8,0.01,0.002267601815133265
5000,64,8,0.01,0.0019604130081611747
5000,128,8,0.01,0.00181625082930641
5000,256,8,0.01,0.0017664306130411517
100,32,16,0.01,0.04650358237065622
100,64,16,0.01,0.044386725837312055
100,128,16,0.01,0.043229108636200206
100,256,16,0.01,0.04236530523639054
500,32,16,0.01,0.006893384807312914
500,64,16,0.01,0.005315008230341093
500,128,16,0.01,0.004290952888498982
500,256,16,0.01,0.0036987278500325957
1000,32,16,0.01,0.003872642013559191
1000,64,16,0.01,0.0027671968250020866
1000,128,16,0.01,0.0022548981080606125
1000,256,16,0.01,0.001992429989517903
2500,32,16,0.01,0.00257250086652661
2500,64,16,0.01,0.0021457785095251153
2500,128,16,0.01,0.0018424379012858508
2500,256,16,0.01,0.0017074634227447526
5000,32,16,0.01,0.00216113713085297
5000,64,16,0.01,0.0018658986664009081
5000,128,16,0.01,0.0016996206473828782
5000,256,16,0.01,0.0016036152390536743
100,32,32,0.01,0.04650358237065622
100,64,32,0.01,0.044386725837312055
100,128,32,0.01,0.043229108636200206
100,256,32,0.01,0.04236530523639054
500,32,32,0.01,0.006893384807312914
500,64,32,0.01,0.00530635326807106
500,128,32,0.01,0.004281319956650955
500,256,32,0.01,0.0036720593663083427
1000,32,32,0.01,0.003872642013559191
1000,64,32,0.01,0.0027549555237635936
1000,128,32,0.01,0.002247693333643161
1000,256,32,0.01,0.001983807557729388
2500,32,32,0.01,0.002575298357433327
2500,64,32,0.01,0.002121567047918276
2500,128,32,0.01,0.0018401087127221955
2500,256,32,0.01,0.0016866333608914778
5000,32,32,0.01,0.002194392553696351
5000,64,32,0.01,0.0018952639372389086
5000,128,32,0.01,0.0016935293328967113
5000,256,32,0.01,0.0016077760896041628
100,32,64,0.01,0.04650358237065622
100,64,64,0.01,0.044386725837312055
100,128,64,0.01,0.043229108636200206
100,256,64,0.01,0.04236530523639054
500,32,64,0.01,0.006893384807312914
500,64,64,0.01,0.00530635326807106
500,128,64,0.01,0.004281319956650955
500,256,64,0.01,0.0036720593663083427
1000,32,64,0.01,0.003872642013559191
1000,64,64,0.01,0.0027549555237635936
1000,128,64,0.01,0.002247693333643161
1000,256,64,0.01,0.001986175953946299
2500,32,64,0.01,0.002575298357433327
2500,64,64,0.01,0.002121567047918276
2500,128,64,0.01,0.0018401087127221955
2500,256,64,0.01,0.0017049779321094726
5000,32,64,0.01,0.002194392553696351
5000,64,64,0.01,0.0018952639372389086
5000,128,64,0.01,0.0016938508334779087
5000,256,64,0.01,0.0016150557934083072
100,32,8,0.05,0.0073291584149787455
100,64,8,0.05,0.005657901263948963
100,128,8,0.05,0.004591021695053093
100,256,8,0.05,0.003818704241038941
500,32,8,0.05,0.0032073618129675966
500,64,8,0.05,0.002760402119333083
500,128,8,0.05,0.0024275566566551573
500,256,8,0.05,0.0023658518984947742
1000,32,8,0.05,0.0027652181210856214
1000,64,8,0.05,0.002473731970733383
1000,128,8,0.05,0.002264473578364055
1000,256,8,0.05,0.0022461105290108698
2500,32,8,0.05,0.002323295540068816
2500,64,8,0.05,0.002188192448785631
2500,128,8,0.05,0.002094118434303541
2500,256,8,0.05,0.0021237043712403012
5000,32,8,0.05,0.0021111041029174857
5000,64,8,0.05,0.002033941563778183
5000,128,8,0.05,0.0020117002856789045
5000,256,8,0.05,0.0020600121446162404
100,32,16,0.05,0.007162011793593327
100,64,16,0.05,0.005694514549455445
100,128,16,0.05,0.004676744324460583
100,256,16,0.05,0.004023383325284059
500,32,16,0.05,0.003141000114392767
500,64,16,0.05,0.0027025918415911404
500,128,16,0.05,0.0023938574317121314
500,256,16,0.05,0.0022016094786691015
1000,32,16,0.05,0.002769976783856227
1000,64,16,0.05,0.0024340229270651617
1000,128,16,0.05,0.0021939854603311728
1000,256,16,0.05,0.0020545848537515924
2500,32,16,0.05,0.0023372711150861925
2500,64,16,0.05,0.0021323489565546992
2500,128,16,0.05,0.002024282696208812
2500,256,16,0.05,0.0019335055841036579
5000,32,16,0.05,0.002094747361915573
5000,64,16,0.05,0.001983559710448683
5000,128,16,0.05,0.0019356047028401384
5000,256,16,0.05,0.0018740593057348157
100,32,32,0.05,0.007162011793593327
100,64,32,0.05,0.005551809971300038
