n_estimators,num_leaves,max_depth,learning_rate,mae
100,32,8,0.005,0.06963867537554205
100,64,8,0.005,0.06826871173969982
100,128,8,0.005,0.06740232093830581
100,256,8,0.005,0.06696121262917079
500,32,8,0.005,0.017388401950007137
500,64,8,0.005,0.014953100332014793
500,128,8,0.005,0.013366954713157958
500,256,8,0.005,0.012502857606924014
1000,32,8,0.005,0.006843682994198053
1000,64,8,0.005,0.0052183808655813756
1000,128,8,0.005,0.004122098768187287
1000,256,8,0.005,0.0034455480030437372
2500,32,8,0.005,0.0033882200886252833
2500,64,8,0.005,0.0023717230834378465
2500,128,8,0.005,0.0019966974126528394
2500,256,8,0.005,0.001864862578041225
5000,32,8,0.005,0.0025287163931366186
5000,64,8,0.005,0.0020481951857646776
5000,128,8,0.005,0.0017916685060415188
5000,256,8,0.005,0.0016988435045163324
100,32,16,0.005,0.06963867537554205
100,64,16,0.005,0.0682869277325298
100,128,16,0.005,0.06751762989575405
100,256,16,0.005,0.06699247917136474
500,32,16,0.005,0.017420063122712565
500,64,16,0.005,0.015138519910322444
500,128,16,0.005,0.013598371351729486
500,256,16,0.005,0.012687586189243722
1000,32,16,0.005,0.006802803266592699
1000,64,16,0.005,0.005204030114789896
1000,128,16,0.005,0.004214635227446256
1000,256,16,0.005,0.003595401703531475
2500,32,16,0.005,0.003191435900403273
2500,64,16,0.005,0.0023843099576871018
2500,128,16,0.005,0.0019584084081795145
2500,256,16,0.005,0.0017411156396692682
5000,32,16,0.005,0.002398885013061572
5000,64,16,0.005,0.001966875208037064
5000,128,16,0.005,0.0017168729620778067
5000,256,16,0.005,0.0015683054551678035
100,32,32,0.005,0.06963867537554205
100,64,32,0.005,0.0682869277325298
100,128,32,0.005,0.06751762989575405
100,256,32,0.005,0.06699247917136474
500,32,32,0.005,0.017420063122712565
500,64,32,0.005,0.015138519910322444
500,128,32,0.005,0.013598371351729486
500,256,32,0.005,0.01267761426439918
1000,32,32,0.005,0.006802803266592699
1000,64,32,0.005,0.0052198897657980544
1000,128,32,0.005,0.0042081803471129805
1000,256,32,0.005,0.003640950349962971
2500,32,32,0.005,0.003191435900403273
2500,64,32,0.005,0.002371457012074886
2500,128,32,0.005,0.0019501798770810855
2500,256,32,0.005,0.0017193721783735686
5000,32,32,0.005,0.002398885013061572
5000,64,32,0.005,0.0019556671669717788
5000,128,32,0.005,0.0016919066889749146
5000,256,32,0.005,0.0015453269191670839
100,32,64,0.005,0.06963867537554205
100,64,64,0.005,0.0682869277325298
100,128,64,0.005,0.06751762989575405
100,256,64,0.005,0.06699247917136474
500,32,64,0.005,0.017420063122712565
500,64,64,0.005,0.015138519910322444
500,128,64,0.005,0.013598371351729486
500,256,64,0.005,0.01267761426439918
1000,32,64,0.005,0.006802803266592699
1000,64,64,0.005,0.0052198897657980544
1000,128,64,0.005,0.0042081803471129805
1000,256,64,0.005,0.003640950349962971
2500,32,64,0.005,0.003191435900403273
2500,64,64,0.005,0.002371457012074886
2500,128,64,0.005,0.0019501798770810855
2500,256,64,0.005,0.0017293730920807044
5000,32,64,0.005,0.002398885013061572
5000,64,64,0.005,0.0019556671669717788
5000,128,64,0.005,0.0016919066889749146
5000,256,64,0.005,0.0015497255503964663
100,32,8,0.01,0.04655884129047829
100,64,8,0.01,0.044336707050556284
100,128,8,0.01,0.04296490584926463
100,256,8,0.01,0.04222795441865649
500,32,8,0.01,0.0068241070372351015
500,64,8,0.01,0.005357516940079666
500,128,8,0.01,0.004210375357765315
500,256,8,0.01,0.0034576260950869076
1000,32,8,0.01,0.0037485985678999156
1000,64,8,0.01,0.0027072925737068407
1000,128,8,0.01,0.0022182643109458764
1000,256,8,0.01,0.002006085006871373
2500,32,8,0.01,0.0025529882269711246
2500,64,8,0.01,0.002099038006092126
2500,128,8,0.01,0.001828322222961049
2500,256,8,0.01,0.0017238835096041558
5000,32,8,0.01,0.0021600883844830163
5000,64,8,0.01,0.001878372466715628
5000,128,8,0.01,0.0016781773279976584
5000,256,8,0.01,0.0016229131767634699
100,32,16,0.01,0.04656164674234584
100,64,16,0.01,0.044384920116706084
100,128,16,0.01,0.04315348828098487
100,256,16,0.01,0.04234889719403488
500,32,16,0.01,0.00679385472238927
500,64,16,0.01,0.005257912274073409
500,128,16,0.01,0.004239158484102351
500,256,16,0.01,0.0036577814506209036
1000,32,16,0.01,0.0038926116710969096
1000,64,16,0.01,0.0026657978540547992
1000,128,16,0.01,0.002187523822582258
1000,256,16,0.01,0.0019005632414317642
2500,32,16,0.01,0.002550743750293575
2500,64,16,0.01,0.0020480647327485186
2500,128,16,0.01,0.001757731564284072
2500,256,16,0.01,0.0016091504850429764
5000,32,16,0.01,0.002074290746959941
5000,64,16,0.01,0.0017836495351302674
5000,128,16,0.01,0.001598075371357635
5000,256,16,0.01,0.0014812445180489324
100,32,32,0.01,0.04656164674234584
100,64,32,0.01,0.044384920116706084
100,128,32,0.01,0.04315348828098487
100,256,32,0.01,0.04234889719403488
500,32,32,0.01,0.00679385472238927
500,64,32,0.01,0.005278428513664861
500,128,32,0.01,0.004225206621831173
500,256,32,0.01,0.0036549995452365884
1000,32,32,0.01,0.0038926116710969096
1000,64,32,0.01,0.0027153587342426126
1000,128,32,0.01,0.0021730180521657887
1000,256,32,0.01,0.001911430762264753
2500,32,32,0.01,0.002550743750293575
2500,64,32,0.01,0.0020364468333439324
2500,128,32,0.01,0.0017592047154446114
2500,256,32,0.01,0.0015967386605974384
5000,32,32,0.01,0.002096306668930918
5000,64,32,0.01,0.0017657064771006098
5000,128,32,0.01,0.001603502013835298
5000,256,32,0.01,0.001477332398486439
100,32,64,0.01,0.04656164674234584
100,64,64,0.01,0.044384920116706084
100,128,64,0.01,0.04315348828098487
100,256,64,0.01,0.04234889719403488
500,32,64,0.01,0.00679385472238927
500,64,64,0.01,0.005278428513664861
500,128,64,0.01,0.004225206621831173
500,256,64,0.01,0.0036549995452365884
1000,32,64,0.01,0.0038926116710969096
1000,64,64,0.01,0.0027153587342426126
1000,128,64,0.01,0.0021730180521657887
1000,256,64,0.01,0.0018901778159965126
2500,32,64,0.01,0.002550743750293575
2500,64,64,0.01,0.0020364468333439324
2500,128,64,0.01,0.0017592047154446114
2500,256,64,0.01,0.001592202282767342
5000,32,64,0.01,0.002096306668930918
5000,64,64,0.01,0.0017657064771006098
5000,128,64,0.01,0.0016011498865906597
5000,256,64,0.01,0.0014778902618418572
100,32,8,0.05,0.00735985638084918
100,64,8,0.05,0.0056350709766863375
100,128,8,0.05,0.004542017512002856
100,256,8,0.05,0.003772442717502573
500,32,8,0.05,0.003092007043125885
500,64,8,0.05,0.0026609269650769655
